//IFPANEL 1
///NAME Panel 1,Panel 1
1A,1,3,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
1B,1,2,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
1C,1,6,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
1D,1,9,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
1E,1,3,3,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
1F,1,3,5,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
1G,1,3,7,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
1H,1,3,9,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
2A,1,19,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
2B,1,11,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
2C,1,3,7,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
2D,1,7,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
2E,1,8,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
2F,1,3,8,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
2G,1,3,4,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
2H,1,9,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
3A,1,18,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
3B,1,16,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
3C,1,19,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
3D,1,12,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
3E,1,10,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
3F,1,1,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
3G,1,6,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
3H,1,3,5,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
4A,1,3,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
4B,1,6,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
4C,1,6,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
4D,1,9,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
4E,1,17,4,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
4F,1,16,14,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
4G,1,6,15,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
4H,1,7,1,4,Deutsch,Hallo,Welt,1,1,1,3333,1,0,0,0,0,0,0,English,Hello,World,0
//IFPANEL 2
///NAME Panel 2,Panel 2
1A,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
1B,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
1C,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
1D,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
1E,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
1F,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
1G,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
1H,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
2A,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
2B,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
2C,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
2D,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
2E,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
2F,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
2G,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
2H,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
3A,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
3B,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
3C,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
3D,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
3E,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
3F,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
3G,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
3H,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
4A,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
4B,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
4C,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
4D,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
4E,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
4F,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
4G,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
4H,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
//IFPANEL 3
///NAME Panel 3,Panel 3
1A,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,,0
